"Policy, Political & Trade Event Timeline — for event-dummy features",,,
"Researched: customs/GST notifications, IMO, Ministry of Steel, DGTR trade remedies, US-India trade war. Color = confidence in price impact.",,,
,,,
Date,Event,Confidence,Mechanism / expected effect on Alang scrap price
2024-06-04,General election result: NDA/Modi returns with reduced coalition-dependent majority,Medium,"Feb-Jun 2024 was an ""interim budget"" limbo (no policy announcements allowed pre-election) - plausible partial explanation for the soft capex/steel demand and price softness visible in early-mid 2024 mandi data. No general election due again until 2029 - low near-term political risk to the 15-90 day horizons."
2024-07-23,"Union Budget 2024-25 (first full budget post-election): tariff rationalization round 1, 25 critical minerals BCD exempted",Low,Mostly non-ferrous focused; minor
2024-10-10,GST Notification 25/2024: mandatory 2% GST TDS on metal scrap purchases from registered suppliers,High,Real transaction-level cash-flow cost; watch for short dip in traded volume/price right around this date
2025-02-01,"Union Budget 2025-26: further tariff simplification; nil BCD extended to more non-ferrous scrap; ferrous scrap (HSN 7204) already nil, unaffected; shipbuilding/shipbreaking BCD exemptions extended",Low-Medium,Minimal direct ferrous-scrap effect
2025-04-01,Environment Protection (End-of-Life Vehicle) Rules 2025 take effect: EPR steel-recovery targets for OEMs from scrapped vehicles,Medium,"New competing domestic scrap supply channel (vehicle scrappage) vs. ship-breaking-derived scrap; industry badly missed FY26 targets (70% shortfall reported May 2026), so actual supply impact has been much smaller than the policy intended - a case of policy signal vs. real-world effect diverging"
2025-04-21,"US ""reciprocal tariffs"" announced: 27% general on Indian goods, 25% specifically on steel/aluminium/autos",High,Triggered India defensive safeguard duty (below) and rupee depreciation pressure - a genuine causal driver of the USD/INR uptrend already in the workbook
2025-04-21,"India imposes 12% provisional safeguard duty on flat steel imports (HRC/CRC), for 200 days, responding to Chinese/Vietnamese import surge",High,Protects domestic finished-steel price floor -> supports EAF/IF melting-scrap demand/price indirectly. Excludes high-value imports above $675/t CIF
2025-06-26,"Hong Kong Convention enters into force: yards need Document of Authorisation (DASR), full Inventory of Hazardous Materials, ship-specific recycling plans",High,"New compliance cost per vessel/per yard; also a genuine industry-wide uncertainty shock after 16 years of anticipation - test as a level-shift, not just a point event"
2025-08-06,"US adds additional 25% tariff on India (Russian oil related), effective 27 Aug 2025, taking total to ~50%",High,"Major rupee depreciation pressure - USD/INR rose from ~86 (Jul-25) to ~90 (Dec-25) over this window, consistent with this shock"
2025-08-04,"Parliamentary Standing Committee report on Steel Scrap Recycling Policy recommends industry status for scrap sector, formalization of informal scrap markets",Medium,"Signals a pending NEW national scrap policy (replacing 2019 version) - Ministry of Steel said Jan-2026 it could land ""within a couple of months"" - STILL PENDING as of Jul 2026. Watch for this landing during the forecast window - genuine catalyst risk"
2025-09-22,"GST 2.0 reform: slabs simplified to 5%/18%/40% - metal scrap CONFIRMED to stay at 18%, no change",Confirmed no-effect,Included so the model does not need to guess whether this widely-publicized date mattered - it did not for scrap specifically
2025-11-07 (approx),12% safeguard duty on flat steel imports lapses after 200 days (WTO rule); 5-year anti-dumping duty imposed on Vietnamese HR flat steel,Medium-High,Removes the finished-steel price floor that had indirectly supported scrap demand; government began considering a renewed 3-year tapered safeguard (12%/11.5%/11%) almost immediately
2026-02-01,Union Budget 2026-27: capex raised 11.5% to Rs 12.22 lakh crore; continued tariff consolidation,Low-Medium,Generally supportive of steel/construction demand; recurring annual calendar event worth a seasonal dummy each Feb
2026-02-02,US-India bilateral trade deal: reciprocal tariff cut from 50% to 18%; Section 232 steel/aluminium tariff (25%) UNCHANGED; rupee strengthened ~1.5% on announcement,High,"Partial de-escalation - eases broad trade tension and rupee pressure, but steel-specific export channel to US stays constrained since Section 232 was untouched"
2026-01 (resolved),Safeguard duty EXTENDED to April 2028 (12% tapering to 11%) - NOT hiked to 24% as earlier reports speculated,Confirmed,"Resolves the ""considering 24%"" uncertainty flagged earlier. DGTR final report (Aug 2025) confirmed import surge caused injury; extension maintains the finished-steel price floor through 2028. Source: JPC Monthly Bulletin, Jan 2026, Editorial (jpcsteel.co.in - free, official)"
2026-03-27,"Draft amendment removes ""other steel scrap materials"" from ELV-EPR compliance path, tightening auto-industry scrap sourcing rules",Low-Medium,Narrows one specific competing-supply channel further; auto industry compliance already lagging so real-world effect likely small
,,,
Structural / continuous drivers found (not event dummies - candidate Tier 1/2 continuous features):,,,
"  - RBI repo rate: cut cumulatively 125bps in 2025 (6.50% -> 5.25%) - eases financing costs, supportive of construction/steel demand. Public, free, monthly - easier to source than Turkey HMS.",,,
  - India steel safeguard/anti-dumping duty status (binary: in-force / lapsed / rate level) - directly gates the finished-steel price floor that scrap demand keys off.,,,
"  - Pending National Steel Scrap Recycling Policy 2.0 (replacing 2019 policy) - still not finalized as of Jul 2026; treat current models as valid until/unless this lands, then re-baseline.",,,
"  - US-India tariff relationship - now on a de-escalating path post Feb-2026 deal, but steel-specific Section 232 tariff (25%) remains a live constraint on export-linked demand.",,,
"  - Global scrap trade restrictionism: ~75 restrictions across 48 countries as of 2024, tightening global scrap availability generally - modest structural support for domestic scrap pricing.",,,
2026-01 (reported),India signs long-awaited FTA with EU,Medium,"Indian steel exports to EU currently 3-4 MT/yr vs EU-to-India 0.3-0.4 MT/yr; quota review expected to raise India's allocation. Marginal support for export-linked steel demand, not directly scrap. Source: JPC Monthly Bulletin, Jan 2026"
