AUTOMATED FACTOR-SEARCH FRAMEWORK - findings & honest recalibration,,,,
,,,,
WHAT IT DOES: two-stage search. Stage 1 = cheap Ridge ranks hundreds of factor combos. Stage 2 =,,,,
rigorous XGBoost non-overlapping validation on finalists. Overfitting guard: judge by the DISTRIBUTION,,,,
"of top finalists, not the single best (which is inflated by how many combos were searched).",,,,
,,,,
"KEY HONEST FINDING: earlier single-model results (1.45% @15d, 1.32% @60d) were OPTIMISTIC -",,,,
cherry-picked after the fact. Proper search reveals the real edge is smaller and concentrated at 30-60d.,,,,
,,,,
"RECALIBRATED EDGE (post-search, honest):",,,,
  15d: NO reliable edge over persistence (2.16% vs 1.93%) - just use today price,,,,
  30d: modest real edge - best model zone,,,,
  60d: modest real edge (~3.7-4.0% vs persistence 4.3%),,,,
  90d: pending full search run (needs more compute),,,,
,,,,
ROBUSTLY RECURRING FACTORS (appear in nearly all top combos = real signal):,,,,
"  macd_hist, lag_1, roll_std_10 (core), + turkey_scrap_trend20, rsi_14, margin_proxy (frequent)",,,,
"  -> Technical momentum (MACD) earning a place was an unexpected, useful discovery.",,,,
,,,,
SCALING PLAN (needs dedicated compute - run as Cowork scheduled weekly job):,,,,
"  1. All 4 horizons, combos up to size 6-7, full ~20-factor library (+ ingot trend once tracked)",,,,
"  2. Expand models: LightGBM, ElasticNet, quantile-regression-forests (direct band prediction)",,,,
  3. True hold-out: last ~3 months never touched during search,,,,
  4. Deflated metrics (Lopez de Prado) - discount by number of combos searched,,,,
  5. Track factor stability week-over-week: stable winners = real; churning = overfit,,,,
,,,,
BATCHED SEARCH RESULTS (completed one horizon at a time):,,,,
Horizon,Persistence MAPE,Best combo,Median top finalists,Verdict
15d,1.93%,2.16%,2.33%,No edge - persistence wins
30d,2.99%,2.42%,3.12%,Fragile - unreliable
60d,4.30%,3.71%,4.00%,Modest real edge (8 test pts)
90d,5.15%,1.19%,1.37%,Strongest & most consistent (5 test pts)
,,,,
KEY DISCOVERY: model edge GROWS with horizon (opposite of naive intuition).,,,,
"Economic logic: fundamental factors (coking coal, Turkey scrap, margin) act SLOWLY, so they",,,,
add most value over months. Short-term: use persistence. Long-term (60-90d): fundamentals lead.,,,,
90d winner: coking_coal_trend + turkey_scrap_trend + lag_1 + macd_hist,,,,
,,,,
"BATCH 6 - MODEL COMPARISON at 90d (fixed factors, varied model) - the trustworthy number:",,,,
Model,90d MAPE (rigorous),,,
RandomForest,2.81%,,,
ExtraTrees,2.92%,,,
XGBoost,2.94%,,,
LightGBM,3.03%,,,
ElasticNet (linear),3.91%,,,
Persistence baseline,5.50%,,,
,,,,
"VERDICT: 90d edge is REAL and ROBUST - ~2.8-3.0% across 4 tree models, HALVING persistence error (5.5%).",,,,
"The single-combo 1.19% was optimistic; ~2.8% is the honest, model-agnostic number. Nonlinearity confirmed necessary (linear lags).",,,,
,,,,
BATCH 7 - QUANTILE BANDS + CALIBRATION TEST (definitive answer on band width):,,,,
"Tight quantile-forest bands (Rs 440-670 wide) were TESTED and FAIL: ""80% band"" actually covers only ~40% of outcomes.",,,,
A Rs 500-1000 band at 60-90d would be right <50% of the time. Honest 80% coverage needs ~Rs 2000-3000 width.,,,,
"CONCLUSION: tight bands are impossible on this market (tested, not assumed). BUT point forecast is still good",,,,
"(~2.8% @90d, halves persistence). Use DIRECTION + level, not precise band. Market genuinely swings Rs 3000+/quarter.",,,,
