"MULTI-FACTOR TESTING PROTOCOL - exact steps, in order, every time",,,
,,,
Step,Name,What to do,Why / guardrail
STEP 1,BUILD THE ELIGIBLE POOL,"Only factors that individually PASSED Stage 2/3 of the Roadmap (real, purged, significant) enter the pool. Factors still in Stage 1 (collecting) or that FAILED Stage 2 are excluded, no matter how promising they look.",This is the single biggest guard against the VIF-630 mistake - most bad combinations start with an ineligible factor included anyway.
STEP 2,CHEAP BROAD SEARCH (Stage 1 of search),"Try every combination of eligible factors, sizes 2 to 5, using fast Ridge regression on a coarse walk-forward (every 15-20 days, not every 5). This is intentionally cheap - hundreds/thousands of combos tested quickly to rank candidates.",Output: ranked list by mean absolute error. Keep only the top 10-15 combos for the next step.
STEP 3,VIF CHECK ON FINALISTS,"Before any rigorous testing, compute VIF for every factor in each of the top 10-15 combos. Any combo with a factor VIF > 5 is DISCARDED immediately, even if it scored well in Step 2.","This is a hard rule, not a judgment call. VIF>5 means the factors are measuring the same underlying thing - the earlier 630 VIF disaster happened because this check was skipped."
STEP 4,RIGOROUS VALIDATION (Stage 2 of search),"Surviving combos go through PURGED, non-overlapping walk-forward validation using tree-based models (Random Forest / XGBoost - proven necessary since linear models underperform on this data). Report both the best combo's score AND the median of all surviving combos.","If the median is much worse than the best, the best is probably lucky, not real. Trust the median-level performance, not the best-case number."
STEP 5,ECONOMIC SANITY CHECK,"For the winning combination: does the story make economic sense? (e.g. 'ingot demand leads scrap price by 2-3 weeks because mills buy scrap to feed billet production' is sensible; 'USD/INR 6-day-old value predicts 90-day price' is not, without a real mechanism.)",Any factor that wins statistically but has no plausible mechanism gets flagged for extra scrutiny before being trusted - this is the human-judgment layer that pure search cannot replace.
STEP 6,CALIBRATION TEST ON THE FINAL MODEL,"Before reporting any confidence band, run the calibration check: does the stated 80% band actually contain the true outcome ~80% of the time in the backtest? (We already proved tight bands FAIL this - do not skip this step again.)","If calibration fails, WIDEN the band until it passes. Never report a band width that hasn't been calibration-tested."
STEP 7,DOCUMENT AND FREEZE,"Write down: exact factors used, exact model type, exact accuracy/MAPE at each horizon, exact N (independent test count), exact date range tested. This becomes the frozen 'current best model' until Stage 6 monitoring flags a need to redo it.","No silent changes. If the model changes, log why (new data, factor stopped working, etc.) in this same document."
,,,
WHY EACH STEP EXISTS (lessons already paid for in this project):,,,
  - Step 1 exists because we once tested USD/INR alone with only 2 days of real data and got nonsense.,,,
  - Step 2/4 split (cheap then rigorous) exists because full rigorous testing on every combo would take hours per horizon.,,,
  - Step 3 (VIF) exists because the original 18-feature model had VIF up to 630 and backwards coefficients as a direct result.,,,
"  - Step 4 median-vs-best exists because our first 60d ""1.32% MAPE"" result was optimistic - the true model-agnostic number was ~2.8%.",,,
"  - Step 6 (calibration) exists because a ""tight"" 500-rupee band was tested and found to cover only ~40% of outcomes, not 80%.",,,
