"ALANG DIRECTIONAL SIGNAL - simple hold/sell lean, updated in under a minute",,,,
No heavy math. Check these 3 things twice a week and read the combined signal. Ingot/Billet is the leading indicator you identified as key.,,,,
,,,,
"STEP 1: Check ingot & billet direction (free, live) - ayronmart.com/semi-finished-steel-prices",,,,
City to check,Product,Today (4 Aug 2026),Direction,
Bhavnagar (closest to Alang),Ingot,"40,600",Flat,
Bhavnagar,Billet,"41,200",UP,
Ahmedabad,Ingot,"40,800",UP,
Mumbai,Ingot,"41,300",UP,
Mumbai,Billet,"42,000",UP,
,,,,
STEP 2: Check your own 8ANI 5-day trend (from mandi data you already have),,,,
5 days ago,"38,500",,,
Today,"39,200",,,
5-day change,+700 (UP),,,
,,,,
STEP 3: Combined signal,,,,
Ingot/Billet direction (4 of 5 checked),UP,,,
Your own 8ANI momentum,UP,,,
Relative value (rich/cheap vs input costs),Moderate (64th percentile - not extreme either way),,,
,,,,
CURRENT READ (5 Aug 2026): LEAN HOLD / MILD BUY-SIDE,,,,
Both leading (ingot/billet) and your own price are turning up after the June-July decline you flagged. Not a strong signal - moderate confidence - but no reason to rush a sale right now.,,,,
,,,,
HOW TO READ THIS GOING FORWARD:,,,,
  - Ingot/Billet UP + your own price UP = LEAN HOLD (wait for better price) or BUY-SIDE if you are the buyer,,,,
  - Ingot/Billet DOWN + your own price DOWN = LEAN SELL AGGRESSIVELY (before further decline),,,,
"  - Mixed signals (one up, one down) = LEAN HOLD, no strong edge, wait for confirmation",,,,
"  - Check the ""Relative value percentile"" occasionally (not urgent): above 80th = scrap is rich vs input costs, some pullback risk over following months. Below 20th = scrap is cheap, some recovery likely over following months.",,,,
,,,,
UPDATE - 6 August 2026,,,,
City,Product,4 Aug,6 Aug,Direction
Bhavnagar,Ingot,40600,40900,UP +300
Bhavnagar,Billet,41200,41500,UP +300
Ahmedabad,Ingot,40800,40600,DOWN -200
Ahmedabad,Billet,41600,41800,UP +200
Mumbai,Ingot,41300,41200,DOWN -100
Mumbai,Billet,42000,42000,FLAT
,,,,
"UPDATED READ (6 Aug 2026): SIGNAL TURNED MIXED - the clean UP move from 4 Aug has stalled (3 up / 1 flat / 2 down, vs 4 up / 1 flat / 0 down two days ago). No new mandi price data yet to confirm which way this resolves.",,,,
Recommendation: HOLD / WAIT - do not treat this as either a buy or sell signal yet. Check again in 2-3 days once mandi data + ingot direction both confirm one way.,,,,
